Numéro du poste,Circonscription,Commune,Etablissement,RNE,Nature,Spécialité,Nb. Cl.,Dont Cl. Spé.,Nb supports mis au mouvement,Nb supports inaccessibles,Total,Dont nb supports vacants,Coords
211324,FONTAINEBLEAU,AVON,HAUT CHANGIS                  ,0770373M,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.4167857, 2.7305271)"
211325,FONTAINEBLEAU,AVON,PAUL MATHERY                  ,0771437U,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.406608, 2.7230098)"
211326,FONTAINEBLEAU,AVON,LES TERRASSES                 ,0771569M,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.4199859, 2.7336366)"
19821,PEI,AVON,DE LA VALLEE                  ,0771422C,ULCG - Ulis collège,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,1,"(48.4136197, 2.7304103)"
19434,FONTAINEBLEAU,AVON,LA BUTTE MONTCEAU             ,0771050Y,ULEC - Ulis école,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,0,"(48.4122001, 2.7385723)"
19849,NEMOURS,BAGNEAUX SUR LOING,PAUL LOPEZ                    ,0771438V,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,0,"(48.2309546, 2.7050477)"
19852,NEMOURS,BAGNEAUX SUR LOING,DES GAMINS VERRIERS           ,0771439W,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,0,"(48.2318935, 2.7024357)"
19853,NEMOURS,BAGNEAUX SUR LOING,DES GAMINS VERRIERS           ,0771439W,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,3,1,4,0,"(48.2318935, 2.7024357)"
19850,NEMOURS,BAGNEAUX SUR LOING,PAUL LOPEZ                    ,0771438V,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.2309546, 2.7050477)"
211328,NEMOURS,BAGNEAUX SUR LOING,PAUL LOPEZ                    ,0771438V,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.2309546, 2.7050477)"
211329,NEMOURS,BAGNEAUX SUR LOING,DES GAMINS VERRIERS           ,0771439W,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.2318935, 2.7024357)"
